,time,hood,title,url,price,bedroom_count,sqft
52,2020-12-01 19:33, (ingleside / SFSU / CCSF),Brand new bedrooms/bathrooms,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-brand-new-bedrooms/7240258437.html,950,1,
53,2020-12-01 19:32, (financial district),Affordale SRO in Chinatown,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-affordale-sro-in-chinatown/7238917346.html,850,1,
54,2020-12-01 19:31, (lower nob hill),Cozy Hillside Studio,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-cozy-hillside-studio/7238953464.html,1700,,
55,2020-12-01 19:23, (richmond / seacliff),1 br +living+kitchen laundry park ocean view open space,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-br-livingkitchen-laundry/7234761477.html,2195,1,700.0
56,2020-12-01 19:23, (richmond / seacliff),1 br +living+kitchen laundry park ocean view open space,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-br-livingkitchen-laundry/7234761477.html,2195,1,700.0
57,2020-12-01 19:00, (lower nob hill),Beautiful Studio w/ Sleep Alcove Walk in Closet Gym Laundry Roof Deck,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-beautiful-studio-sleep/7240248221.html,1700,1,550.0
58,2020-12-01 18:57, (inner richmond),Charming Studio Apt For Rent,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-charming-studio-apt-for/7240247430.html,1995,1,252.0
59,2020-12-01 18:55, (mission district),Valencia/Dolores One Bedroom,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-valencia-dolores-one/7240244626.html,1495,1,
60,2020-12-01 18:52, (russian hill),charming sublet in the heart of russian hill for the new year,https://sfbay.craigslist.org/sfc/apa/d/charming-sublet-in-the-heart-of-russian/7238981868.html,2200,1,
61,2020-12-01 18:50, (alamo square / nopa),Bright & Newly Remodeled Studio in Alamo Square; 6 Weeks FREE Rent!,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-bright-newly-remodeled/7240244707.html,2295,,
62,2020-12-01 18:48, (lower nob hill),Fourth-floor one-bedroom in Theater District,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-fourth-floor-one-bedroom/7237471517.html,2100,1,590.0
63,2020-12-01 18:48, (lower nob hill),Third-floor studio in Theater District,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-third-floor-studio-in/7237224292.html,1450,,310.0
64,2020-12-01 18:45, (SOMA / south beach),"Private, Furnished - utilities included, short terms available",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-private-furnished/7240200181.html,1800,1,
65,2020-12-01 18:43, (north beach / telegraph hill),"Beautiful Studio in North Beach, 6 Weeks FREE Rent!",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-beautiful-studio-in-north/7240242377.html,2295,,
66,2020-12-01 18:37, (marina / cow hollow),Garden Studio,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-garden-studio/7240240602.html,1975,,
67,2020-12-01 18:37, (north beach / telegraph hill),"Beautiful Views in Cozy Studio in North Beach, 6 Weeks FREE Rent!",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-beautiful-views-in-cozy/7240240427.html,2295,,
68,2020-12-01 18:36, (lower haight),"$2,100 Private Br & Ba for rent - Garage parking included!",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-2100-private-br-ba-for/7238518289.html,2100,1,
69,2020-12-01 18:34, (noe valley),Modern Studio Apartment in Noe Valley!,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-modern-studio-apartment/7240239575.html,2000,,
70,2020-12-01 18:34, (bayview),Luxury Top Floor Jr. 1x1 w/ $200 Parking & In-Unit Laundry,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-luxury-top-floor-jr-1x1/7240235687.html,1850,1,572.0
71,2020-12-01 18:32, (marina / cow hollow),"Quiet & Freshly updated one Bdrm w/Patio, Parking and Storage",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-quiet-freshly-updated-one/7233292441.html,2250,1,
